#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality,correctness, completeness or quality of the information provided. Liability claims regarding damagecaused by the use of any information provided, including any kind of information which is incompleteor incorrect,will therefore be rejected.
#For help contact: synpro@ise.fraunhofer.de
;building_0;total;unixtimestamp
2022-01-01 00:00:00+01:00;0.0;0.0;1640991600
2022-01-01 01:00:00+01:00;0.0;0.0;1640995200
2022-01-01 02:00:00+01:00;0.0;0.0;1640998800
2022-01-01 03:00:00+01:00;0.0;0.0;1641002400
2022-01-01 04:00:00+01:00;0.0;0.0;1641006000
2022-01-01 05:00:00+01:00;0.0;0.0;1641009600
2022-01-01 06:00:00+01:00;0.728688075098942;0.728688075098942;1641013200
2022-01-01 07:00:00+01:00;0.0;0.0;1641016800
2022-01-01 08:00:00+01:00;0.0;0.0;1641020400
2022-01-01 09:00:00+01:00;0.0;0.0;1641024000
2022-01-01 10:00:00+01:00;0.306878392602644;0.306878392602644;1641027600
2022-01-01 11:00:00+01:00;0.0;0.0;1641031200
2022-01-01 12:00:00+01:00;0.0;0.0;1641034800
2022-01-01 13:00:00+01:00;0.643773204558957;0.643773204558957;1641038400
2022-01-01 14:00:00+01:00;0.750410483841729;0.750410483841729;1641042000
2022-01-01 15:00:00+01:00;0.0;0.0;1641045600
2022-01-01 16:00:00+01:00;0.0;0.0;1641049200
2022-01-01 17:00:00+01:00;0.0;0.0;1641052800
2022-01-01 18:00:00+01:00;0.0;0.0;1641056400
2022-01-01 19:00:00+01:00;0.0;0.0;1641060000
2022-01-01 20:00:00+01:00;1.38628463067604;1.38628463067604;1641063600
2022-01-01 21:00:00+01:00;0.0;0.0;1641067200
2022-01-01 22:00:00+01:00;0.0;0.0;1641070800
2022-01-01 23:00:00+01:00;0.746460954979404;0.746460954979404;1641074400
2022-01-02 00:00:00+01:00;0.0;0.0;1641078000
2022-01-02 01:00:00+01:00;0.0;0.0;1641081600
2022-01-02 02:00:00+01:00;0.0;0.0;1641085200
2022-01-02 03:00:00+01:00;0.0;0.0;1641088800
2022-01-02 04:00:00+01:00;0.0;0.0;1641092400
2022-01-02 05:00:00+01:00;0.896442345952722;0.896442345952722;1641096000
2022-01-02 06:00:00+01:00;0.0;0.0;1641099600
2022-01-02 07:00:00+01:00;2.24189637841439;2.24189637841439;1641103200
2022-01-02 08:00:00+01:00;0.0;0.0;1641106800
2022-01-02 09:00:00+01:00;1.76521671826493;1.76521671826493;1641110400
2022-01-02 10:00:00+01:00;0.0;0.0;1641114000
2022-01-02 11:00:00+01:00;0.0;0.0;1641117600
2022-01-02 12:00:00+01:00;0.0;0.0;1641121200
2022-01-02 13:00:00+01:00;0.0;0.0;1641124800
2022-01-02 14:00:00+01:00;0.0;0.0;1641128400
2022-01-02 15:00:00+01:00;1.0118573217103;1.0118573217103;1641132000
2022-01-02 16:00:00+01:00;0.0;0.0;1641135600
2022-01-02 17:00:00+01:00;0.0;0.0;1641139200
2022-01-02 18:00:00+01:00;0.126482165213788;0.126482165213788;1641142800
2022-01-02 19:00:00+01:00;0.0;0.0;1641146400
2022-01-02 20:00:00+01:00;0.0;0.0;1641150000
2022-01-02 21:00:00+01:00;0.0;0.0;1641153600
2022-01-02 22:00:00+01:00;0.0533596634495668;0.0533596634495668;1641157200
2022-01-02 23:00:00+01:00;0.0;0.0;1641160800
2022-01-03 00:00:00+01:00;0.0;0.0;1641164400
2022-01-03 01:00:00+01:00;0.0;0.0;1641168000
2022-01-03 02:00:00+01:00;0.0;0.0;1641171600
2022-01-03 03:00:00+01:00;0.0;0.0;1641175200
2022-01-03 04:00:00+01:00;0.0;0.0;1641178800
2022-01-03 05:00:00+01:00;0.0;0.0;1641182400
2022-01-03 06:00:00+01:00;0.0;0.0;1641186000
2022-01-03 07:00:00+01:00;0.130531653919613;0.130531653919613;1641189600
2022-01-03 08:00:00+01:00;0.0;0.0;1641193200
2022-01-03 09:00:00+01:00;0.308529363809995;0.308529363809995;1641196800
2022-01-03 10:00:00+01:00;0.0;0.0;1641200400
2022-01-03 11:00:00+01:00;0.0;0.0;1641204000
2022-01-03 12:00:00+01:00;0.454091935453684;0.454091935453684;1641207600
2022-01-03 13:00:00+01:00;0.0;0.0;1641211200
2022-01-03 14:00:00+01:00;0.0;0.0;1641214800
2022-01-03 15:00:00+01:00;0.0;0.0;1641218400
2022-01-03 16:00:00+01:00;0.199357435077227;0.199357435077227;1641222000
2022-01-03 17:00:00+01:00;1.20642892259036;1.20642892259036;1641225600
2022-01-03 18:00:00+01:00;0.129740552986767;0.129740552986767;1641229200
2022-01-03 19:00:00+01:00;1.71668902427612;1.71668902427612;1641232800
2022-01-03 20:00:00+01:00;0.0;0.0;1641236400
2022-01-03 21:00:00+01:00;0.0;0.0;1641240000
2022-01-03 22:00:00+01:00;1.54858007604632;1.54858007604632;1641243600
2022-01-03 23:00:00+01:00;0.0;0.0;1641247200
2022-01-04 00:00:00+01:00;0.0;0.0;1641250800
2022-01-04 01:00:00+01:00;0.0;0.0;1641254400
2022-01-04 02:00:00+01:00;0.0;0.0;1641258000
2022-01-04 03:00:00+01:00;0.0;0.0;1641261600
2022-01-04 04:00:00+01:00;0.0;0.0;1641265200
2022-01-04 05:00:00+01:00;0.0;0.0;1641268800
2022-01-04 06:00:00+01:00;0.0;0.0;1641272400
2022-01-04 07:00:00+01:00;0.0;0.0;1641276000
2022-01-04 08:00:00+01:00;0.698251080739107;0.698251080739107;1641279600
2022-01-04 09:00:00+01:00;1.71791932562796;1.71791932562796;1641283200
2022-01-04 10:00:00+01:00;0.0;0.0;1641286800
2022-01-04 11:00:00+01:00;0.0;0.0;1641290400
2022-01-04 12:00:00+01:00;0.0;0.0;1641294000
2022-01-04 13:00:00+01:00;0.0;0.0;1641297600
2022-01-04 14:00:00+01:00;0.0;0.0;1641301200
