#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality,correctness, completeness or quality of the information provided. Liability claims regarding damagecaused by the use of any information provided, including any kind of information which is incompleteor incorrect,will therefore be rejected.
#For help contact: synpro@ise.fraunhofer.de
;building_0_cool;building_0_htg;total_cool;total_htg;unixtimestamp
2022-01-01 00:00:00+01:00;0.0;1.2875767895101;0.0;1.2875767895101;1640991600
2022-01-01 01:00:00+01:00;0.0;1.79994807699137;0.0;1.79994807699137;1640995200
2022-01-01 02:00:00+01:00;0.0;2.1284945329901;0.0;2.1284945329901;1640998800
2022-01-01 03:00:00+01:00;0.0;2.38192768783126;0.0;2.38192768783126;1641002400
2022-01-01 04:00:00+01:00;0.0;2.55315604123121;0.0;2.55315604123121;1641006000
2022-01-01 05:00:00+01:00;0.0;2.67826464686958;0.0;2.67826464686958;1641009600
2022-01-01 06:00:00+01:00;0.0;2.70938076407773;0.0;2.70938076407773;1641013200
2022-01-01 07:00:00+01:00;0.0;2.8527294630956;0.0;2.8527294630956;1641016800
2022-01-01 08:00:00+01:00;0.0;2.8835200512048;0.0;2.8835200512048;1641020400
2022-01-01 09:00:00+01:00;0.0;2.66920326668205;0.0;2.66920326668205;1641024000
2022-01-01 10:00:00+01:00;0.0;2.15559628146852;0.0;2.15559628146852;1641027600
2022-01-01 11:00:00+01:00;0.0;2.01467418568341;0.0;2.01467418568341;1641031200
2022-01-01 12:00:00+01:00;0.0;1.47968484913404;0.0;1.47968484913404;1641034800
2022-01-01 13:00:00+01:00;0.0;1.06467827469822;0.0;1.06467827469822;1641038400
2022-01-01 14:00:00+01:00;0.0;0.390824594559673;0.0;0.390824594559673;1641042000
2022-01-01 15:00:00+01:00;0.0;1.28674685628672;0.0;1.28674685628672;1641045600
2022-01-01 16:00:00+01:00;0.0;1.82789400564791;0.0;1.82789400564791;1641049200
2022-01-01 17:00:00+01:00;0.0;2.19133983013207;0.0;2.19133983013207;1641052800
2022-01-01 18:00:00+01:00;0.0;2.59862206089015;0.0;2.59862206089015;1641056400
2022-01-01 19:00:00+01:00;0.0;2.8504690075734;0.0;2.8504690075734;1641060000
