#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality,correctness, completeness or quality of the information provided. Liability claims regarding damagecaused by the use of any information provided, including any kind of information which is incompleteor incorrect,will therefore be rejected.
#For help contact: synpro@ise.fraunhofer.de
;building_0_cool;building_0_htg;total_cool;total_htg;unixtimestamp
2022-01-01 00:00:00+01:00;0.0;1.29584200886871;0.0;1.29584200886871;1640991600
2022-01-01 01:00:00+01:00;0.0;1.8093862418144;0.0;1.8093862418144;1640995200
2022-01-01 02:00:00+01:00;0.0;2.13820800965322;0.0;2.13820800965322;1640998800
2022-01-01 03:00:00+01:00;0.0;2.37618317301049;0.0;2.37618317301049;1641002400
2022-01-01 04:00:00+01:00;0.0;2.54254885710936;0.0;2.54254885710936;1641006000
2022-01-01 05:00:00+01:00;0.0;2.63516814065692;0.0;2.63516814065692;1641009600
2022-01-01 06:00:00+01:00;0.0;2.7305041719426;0.0;2.7305041719426;1641013200
2022-01-01 07:00:00+01:00;0.0;2.79373178465929;0.0;2.79373178465929;1641016800
2022-01-01 08:00:00+01:00;0.0;2.87518941682536;0.0;2.87518941682536;1641020400
2022-01-01 09:00:00+01:00;0.0;2.07724892933822;0.0;2.07724892933822;1641024000
2022-01-01 10:00:00+01:00;0.0;1.49559483451623;0.0;1.49559483451623;1641027600
2022-01-01 11:00:00+01:00;0.0;1.30929451631981;0.0;1.30929451631981;1641031200
2022-01-01 12:00:00+01:00;0.0;0.903329770661853;0.0;0.903329770661853;1641034800
2022-01-01 13:00:00+01:00;0.0;0.0;0.0;0.0;1641038400
2022-01-01 14:00:00+01:00;0.0;0.0;0.0;0.0;1641042000
2022-01-01 15:00:00+01:00;0.0;0.644666474285964;0.0;0.644666474285964;1641045600
2022-01-01 16:00:00+01:00;0.0;1.56117241005645;0.0;1.56117241005645;1641049200
2022-01-01 17:00:00+01:00;0.0;1.99893212529391;0.0;1.99893212529391;1641052800
2022-01-01 18:00:00+01:00;0.0;1.68763335999602;0.0;1.68763335999602;1641056400
2022-01-01 19:00:00+01:00;0.0;2.23161281735912;0.0;2.23161281735912;1641060000
2022-01-01 20:00:00+01:00;0.0;2.52705277680176;0.0;2.52705277680176;1641063600
2022-01-01 21:00:00+01:00;0.0;2.71229695803541;0.0;2.71229695803541;1641067200
2022-01-01 22:00:00+01:00;0.0;3.09759813271563;0.0;3.09759813271563;1641070800
2022-01-01 23:00:00+01:00;0.0;3.10302685927246;0.0;3.10302685927246;1641074400
2022-01-02 00:00:00+01:00;0.0;2.47502790553466;0.0;2.47502790553466;1641078000
2022-01-02 01:00:00+01:00;0.0;2.91767688960119;0.0;2.91767688960119;1641081600
2022-01-02 02:00:00+01:00;0.0;3.36778681663026;0.0;3.36778681663026;1641085200
2022-01-02 03:00:00+01:00;0.0;3.38405106498869;0.0;3.38405106498869;1641088800
2022-01-02 04:00:00+01:00;0.0;3.36450299790474;0.0;3.36450299790474;1641092400
2022-01-02 05:00:00+01:00;0.0;3.36736794629988;0.0;3.36736794629988;1641096000
2022-01-02 06:00:00+01:00;0.0;3.38947063474872;0.0;3.38947063474872;1641099600
2022-01-02 07:00:00+01:00;0.0;3.31451699743921;0.0;3.31451699743921;1641103200
2022-01-02 08:00:00+01:00;0.0;3.13465109234987;0.0;3.13465109234987;1641106800
2022-01-02 09:00:00+01:00;0.0;3.13898400186624;0.0;3.13898400186624;1641110400
2022-01-02 10:00:00+01:00;0.0;3.04057537377669;0.0;3.04057537377669;1641114000
2022-01-02 11:00:00+01:00;0.0;2.80439147683207;0.0;2.80439147683207;1641117600
2022-01-02 12:00:00+01:00;0.0;1.79684069867863;0.0;1.79684069867863;1641121200
2022-01-02 13:00:00+01:00;0.0;1.16364872875534;0.0;1.16364872875534;1641124800
