#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality,correctness, completeness or quality of the information provided. Liability claims regarding damagecaused by the use of any information provided, including any kind of information which is incompleteor incorrect,will therefore be rejected.
#For help contact: synpro@ise.fraunhofer.de
,YYYYMMDD,hhmmss,unixtimestamp,Q_htg,Q_cool,Q_sol,Q_int,t_room,t_room_op,t_amb,t_amb_mean,heating_on,I_dir,I_dif,I_s,I_w,I_n,I_e,I_s_opt,P_pvn,t_cm,active_occupancy,active_occupancy_diff,occupancy_diff
2022-01-01 00:00:00+01:00,20220101,0,1640991600.0,1.29584200886871,0.0,0.0,0.0741630450270306,21.0,20.833844342121,12.3332184847025,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5906222638777,0.0,0,0
2022-01-01 01:00:00+01:00,20220101,10000,1640995200.0,1.8093862418144,0.0,0.0,0.0744652339014681,21.0,20.6900607398546,12.1834532118331,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3061801773918,0.0,0,0
2022-01-01 02:00:00+01:00,20220101,20000,1640998800.0,2.13820800965322,0.0,0.0,0.0739990253901321,21.0,20.5937103113286,12.2628064534281,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.117278318915,0.0,0,0
2022-01-01 03:00:00+01:00,20220101,30000,1641002400.0,2.37618317301049,0.0,0.0,0.0955597683453653,21.0,20.5263775185319,12.0985117137877,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9831318567837,0.0,0,0
2022-01-01 04:00:00+01:00,20220101,40000,1641006000.0,2.54254885710936,0.0,0.0,0.0932672963184535,21.0,20.4795989352108,12.071688082826,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.890804780305,0.0,0,0
2022-01-01 05:00:00+01:00,20220101,50000,1641009600.0,2.63516814065692,0.0,0.0,0.147241786046981,21.0,20.447931388905,11.9643935589792,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8273229858177,0.433333333333333,2,1
2022-01-01 06:00:00+01:00,20220101,60000,1641013200.0,2.7305041719426,0.0,0.0,0.138000319848672,21.0,20.4240302437675,11.8783344096438,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7794830401795,0.0,0,0
2022-01-01 07:00:00+01:00,20220101,70000,1641016800.0,2.79373178465929,0.0,0.0,0.220580467778474,21.0,20.4035129190401,11.4983329710199,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7352952750475,0.0,0,0
2022-01-01 08:00:00+01:00,20220101,80000,1641020400.0,2.87518941682536,0.0,0.0085553555802942,0.25821802381978,21.0,20.3835990024607,11.1429198607775,11.6009240456876,1,0.0002330228197159,0.001736774381694,0.0012296847156531,0.0,0.0,0.0012455960341312,0.0016854377608561,0.0,19.6925957784119,0.0,0,0
2022-01-01 09:00:00+01:00,20220101,90000,1641024000.0,2.07724892933822,0.0,0.636353518626167,1.24472902670792,21.0,20.4649825415246,11.3876854933029,11.6009240456876,1,0.0126380611634172,0.0265077498868255,0.100605422862236,0.0,0.0,0.0745956724770257,0.0834687288751051,0.0558027294335952,19.8496728412262,0.0,0,0
2022-01-01 10:00:00+01:00,20220101,100000,1641027600.0,1.49559483451623,0.0,1.14654999603646,1.47063767886516,21.0,20.5828527548819,12.0571586160551,11.6009240456876,1,0.0328288031305686,0.0533889077089236,0.199016707379306,0.0,0.0,0.0993447704121527,0.173928062177555,0.140377440721313,20.0850098167976,0.936111111111111,1,0
2022-01-01 11:00:00+01:00,20220101,110000,1641031200.0,1.30929451631981,0.0,1.02895547814132,1.24150508361081,21.0,20.6555964310787,12.6036900968995,11.6009240456876,1,0.0272910843561429,0.0880514851041969,0.185207858687919,0.0,0.0,0.076114550443195,0.18396142183757,0.149395062977851,20.2345033231309,1.46944444444444,1,0
2022-01-01 12:00:00+01:00,20220101,120000,1641034800.0,0.903329770661853,0.0,2.17843524995207,0.918872835664695,21.0,20.8011074725283,13.2999868506134,11.6009240456876,1,0.0799405343872553,0.0915099886910241,0.417100880565387,0.111786835039925,0.0,0.0,0.363314040138217,0.31197713876318,20.5227320925491,2.0,0,0
2022-01-01 13:00:00+01:00,20220101,130000,1641038400.0,0.0,0.0,2.10277978249382,2.31506194150973,21.2794347627797,21.1365504474249,13.6967530585885,11.6009240456876,1,0.0598183285435497,0.10375300572909,0.365519722837082,0.181168267769633,0.0,0.0,0.322721032342813,0.275444265997947,20.9105059451415,2.0,0,0
2022-01-01 14:00:00+01:00,20220101,140000,1641042000.0,0.0,0.0,2.62789439227673,0.862527122313749,21.0152656841075,21.0806115490061,13.4463991696127,11.6009240456876,1,0.058803993916551,0.0709524883985506,0.420015728036736,0.299056853827065,0.0,0.0,0.329846870781318,0.282135500406935,21.0573212380621,2.1,2,1
2022-01-01 15:00:00+01:00,20220101,150000,1641045600.0,0.644666474285964,0.0,0.238088084722868,0.864961285392855,21.0,20.9060990059901,12.3812774901755,11.6009240456876,1,0.011664848210486,0.0429423075397128,0.0341873773576791,0.0347303612116043,0.0,0.0,0.0431757847029411,0.019478954886858,20.7302305694298,1.93333333333333,4,4
2022-01-01 16:00:00+01:00,20220101,160000,1641049200.0,1.56117241005645,0.0,0.0250122504364108,0.354454349512822,21.0,20.7382101958168,11.5005682736,11.6009240456876,1,0.0006442395603911,0.0051869854882272,0.0035241811335325,0.0037816212709322,0.0,0.0,0.0048944116656278,0.0,20.3936847098858,2.53611111111111,1,1
2022-01-01 17:00:00+01:00,20220101,170000,1641052800.0,1.99893212529391,0.0,0.0,0.494224652712759,21.0,20.6113066343065,10.7450360015123,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1365110678142,3.33611111111111,1,1
