#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality,correctness, completeness or quality of the information provided. Liability claims regarding damagecaused by the use of any information provided, including any kind of information which is incompleteor incorrect,will therefore be rejected.
#For help contact: synpro@ise.fraunhofer.de
,YYYYMMDD,hhmmss,unixtimestamp,Q_htg,Q_cool,Q_sol,Q_int,t_room,t_room_op,t_amb,t_amb_mean,heating_on,I_dir,I_dif,I_s,I_w,I_n,I_e,I_s_opt,P_pvn,t_cm,active_occupancy,active_occupancy_diff,occupancy_diff
2022-01-01 00:00:00+01:00,20220101,0,1640991600.0,1.27400338592862,0.0,0.0,0.108190753890034,21.0,20.8352299593014,12.3332184847025,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5932671795041,0.0,0,0
2022-01-01 01:00:00+01:00,20220101,10000,1640995200.0,1.79867494889798,0.0,0.0,0.0862169270888867,21.0,20.6914494235786,12.1834532118331,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3088851483875,0.0,0,0
2022-01-01 02:00:00+01:00,20220101,20000,1640998800.0,2.12731465206987,0.0,0.0,0.0859222785159107,21.0,20.5951266468935,12.2628064534281,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1200373034388,0.0,0,0
2022-01-01 03:00:00+01:00,20220101,30000,1641002400.0,2.36414291881228,0.0,0.0,0.109169208132761,21.0,20.5278811028527,12.0985117137877,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9860584917438,0.0,0,0
2022-01-01 04:00:00+01:00,20220101,40000,1641006000.0,2.52922799380879,0.0,0.0,0.108559106722312,21.0,20.4812287169145,12.071688082826,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8939757409765,0.0,0,0
2022-01-01 05:00:00+01:00,20220101,50000,1641009600.0,2.66460108356889,0.0,0.0,0.095460875911809,21.0,20.4469140277591,11.9643935589792,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8254459924793,0.0,0,0
2022-01-01 06:00:00+01:00,20220101,60000,1641013200.0,2.76352165383148,0.0,0.0,0.0900586774161889,21.0,20.4214321484535,11.8783344096438,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7744852380007,0.0,0,0
2022-01-01 07:00:00+01:00,20220101,70000,1641016800.0,2.89089696532578,0.0,0.0,0.0785140317412386,21.0,20.3960081244911,11.4983329710199,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7208674356494,0.0,0,0
2022-01-01 08:00:00+01:00,20220101,80000,1641020400.0,2.94178555646063,0.0,0.0085553555802942,0.181388352812821,21.0,20.3755056609662,11.1429198607775,11.6009240456876,1,0.0002330228197159,0.001736774381694,0.0012296847156531,0.0,0.0,0.0012455960341312,0.0016656325787185,0.0,19.6768512512825,0.802777777777778,1,0
2022-01-01 09:00:00+01:00,20220101,90000,1641024000.0,2.53822949804382,0.0,0.636353518626167,0.555850058915308,21.0,20.431513302731,11.3876854933029,11.6009240456876,1,0.0126380611634172,0.0265077498868255,0.100605422862236,0.0,0.0,0.0745956724770257,0.0882813463119554,0.0602602626719512,19.7854629111633,1.22222222222222,4,1
2022-01-01 10:00:00+01:00,20220101,100000,1641027600.0,0.952453539494751,0.0,1.14654999603646,2.43680924757786,21.0,20.6000999963214,12.0571586160551,11.6009240456876,1,0.0328288031305686,0.0533889077089236,0.199016707379306,0.0,0.0,0.0993447704121527,0.183124590715551,0.149016730118679,20.116616124026,3.40277777777778,1,1
2022-01-01 11:00:00+01:00,20220101,110000,1641031200.0,1.69519777770664,0.0,1.02895547814132,0.581203668130247,21.0,20.6395849486525,12.6036900968995,11.6009240456876,1,0.0272910843561429,0.0880514851041969,0.185207858687919,0.0,0.0,0.076114550443195,0.190470056429125,0.155485536128172,20.2045877359704,4.0,0,0
2022-01-01 12:00:00+01:00,20220101,120000,1641034800.0,1.14752148732435,0.0,2.17843524995207,0.594239280640434,21.0,20.7775939459971,13.2999868506134,11.6009240456876,1,0.0799405343872553,0.0915099886910241,0.417100880565387,0.111786835039925,0.0,0.0,0.383250026425336,0.329440584137675,20.4772355767783,3.01111111111111,2,2
2022-01-01 13:00:00+01:00,20220101,130000,1641038400.0,0.687527127295447,0.0,2.10277978249382,0.739543640036654,21.0,20.878916092329,13.6967530585885,11.6009240456876,1,0.0598183285435497,0.10375300572909,0.365519722837082,0.181168267769633,0.0,0.0,0.339318052866838,0.290210728366613,20.6804518039052,1.56388888888889,1,1
2022-01-01 14:00:00+01:00,20220101,140000,1641042000.0,0.0761845443638649,0.0,2.62789439227673,1.14114208418853,21.0,21.003077473518,13.4463991696127,11.6009240456876,1,0.058803993916551,0.0709524883985506,0.420015728036736,0.299056853827065,0.0,0.0,0.351914860675719,0.301714312981357,20.9189562211519,1.0,0,0
2022-01-01 15:00:00+01:00,20220101,150000,1641045600.0,0.937728018204794,0.0,0.238088084722868,0.666655832210003,21.0,20.8504106577828,12.3812774901755,11.6009240456876,1,0.011664848210486,0.0429423075397128,0.0341873773576791,0.0347303612116043,0.0,0.0,0.0430217197860821,0.0193475651943183,20.6210951662489,1.76944444444444,1,1
2022-01-01 16:00:00+01:00,20220101,160000,1641049200.0,1.62225510694647,0.0,0.0250122504364108,0.463033755120056,21.0,20.7050765897426,11.5005682736,11.6009240456876,1,0.0006442395603911,0.0051869854882272,0.0035241811335325,0.0037816212709322,0.0,0.0,0.0048162650483183,0.0,20.3282016029826,2.0,0,0
2022-01-01 17:00:00+01:00,20220101,170000,1641052800.0,2.09729674684853,0.0,0.0,0.463214945220136,21.0,20.5875102764839,10.7450360015123,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.089745793955,2.90555555555556,2,2
2022-01-01 18:00:00+01:00,20220101,180000,1641056400.0,2.05297842077194,0.0,0.0,1.04144130261577,21.0,20.5238293692144,10.4801526457657,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9604844252079,4.0,0,0
2022-01-01 19:00:00+01:00,20220101,190000,1641060000.0,2.19971589710215,0.0,0.0,1.11541062182728,21.0,20.4774084526494,10.2264458029197,11.6009240456876,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8665261657304,4.0,0,0
