#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality,correctness, completeness or quality of the information provided. Liability claims regarding damagecaused by the use of any information provided, including any kind of information which is incompleteor incorrect,will therefore be rejected.
#For help contact: synpro@ise.fraunhofer.de
;building_0_cool;building_0_htg;total_cool;total_htg;unixtimestamp
2022-01-01 00:00:00+01:00;0.0;1.27400338592862;0.0;1.27400338592862;1640991600
2022-01-01 01:00:00+01:00;0.0;1.79867494889798;0.0;1.79867494889798;1640995200
2022-01-01 02:00:00+01:00;0.0;2.12731465206987;0.0;2.12731465206987;1640998800
2022-01-01 03:00:00+01:00;0.0;2.36414291881228;0.0;2.36414291881228;1641002400
2022-01-01 04:00:00+01:00;0.0;2.52922799380879;0.0;2.52922799380879;1641006000
2022-01-01 05:00:00+01:00;0.0;2.66460108356889;0.0;2.66460108356889;1641009600
2022-01-01 06:00:00+01:00;0.0;2.76352165383148;0.0;2.76352165383148;1641013200
2022-01-01 07:00:00+01:00;0.0;2.89089696532578;0.0;2.89089696532578;1641016800
2022-01-01 08:00:00+01:00;0.0;2.94178555646063;0.0;2.94178555646063;1641020400
2022-01-01 09:00:00+01:00;0.0;2.53822949804382;0.0;2.53822949804382;1641024000
2022-01-01 10:00:00+01:00;0.0;0.952453539494751;0.0;0.952453539494751;1641027600
2022-01-01 11:00:00+01:00;0.0;1.69519777770664;0.0;1.69519777770664;1641031200
2022-01-01 12:00:00+01:00;0.0;1.14752148732435;0.0;1.14752148732435;1641034800
2022-01-01 13:00:00+01:00;0.0;0.687527127295447;0.0;0.687527127295447;1641038400
2022-01-01 14:00:00+01:00;0.0;0.0761845443638649;0.0;0.0761845443638649;1641042000
2022-01-01 15:00:00+01:00;0.0;0.937728018204794;0.0;0.937728018204794;1641045600
2022-01-01 16:00:00+01:00;0.0;1.62225510694647;0.0;1.62225510694647;1641049200
2022-01-01 17:00:00+01:00;0.0;2.09729674684853;0.0;2.09729674684853;1641052800
2022-01-01 18:00:00+01:00;0.0;2.05297842077194;0.0;2.05297842077194;1641056400
2022-01-01 19:00:00+01:00;0.0;2.19971589710215;0.0;2.19971589710215;1641060000
2022-01-01 20:00:00+01:00;0.0;2.56511426069233;0.0;2.56511426069233;1641063600
2022-01-01 21:00:00+01:00;0.0;2.74716166934652;0.0;2.74716166934652;1641067200
2022-01-01 22:00:00+01:00;0.0;2.97804506414333;0.0;2.97804506414333;1641070800
2022-01-01 23:00:00+01:00;0.0;3.21428158848621;0.0;3.21428158848621;1641074400
2022-01-02 00:00:00+01:00;0.0;3.41282786457373;0.0;3.41282786457373;1641078000
2022-01-02 01:00:00+01:00;0.0;3.51632847601268;0.0;3.51632847601268;1641081600
2022-01-02 02:00:00+01:00;0.0;3.52923816935205;0.0;3.52923816935205;1641085200
2022-01-02 03:00:00+01:00;0.0;3.4749784988655;0.0;3.4749784988655;1641088800
2022-01-02 04:00:00+01:00;0.0;3.35658303498383;0.0;3.35658303498383;1641092400
2022-01-02 05:00:00+01:00;0.0;3.3469123690813;0.0;3.3469123690813;1641096000
2022-01-02 06:00:00+01:00;0.0;3.37451531114348;0.0;3.37451531114348;1641099600
2022-01-02 07:00:00+01:00;0.0;3.37793841591898;0.0;3.37793841591898;1641103200
2022-01-02 08:00:00+01:00;0.0;3.31426185981918;0.0;3.31426185981918;1641106800
2022-01-02 09:00:00+01:00;0.0;3.08418863330419;0.0;3.08418863330419;1641110400
