#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality,correctness, completeness or quality of the information provided. Liability claims regarding damagecaused by the use of any information provided, including any kind of information which is incompleteor incorrect,will therefore be rejected.
#For help contact: synpro@ise.fraunhofer.de
;building_0;total;unixtimestamp
2022-01-01 00:00:00+01:00;0.08704200000000001;0.08704200000000001;1640991600
2022-01-01 01:00:00+01:00;0.08730299999999999;0.08730299999999999;1640995200
2022-01-01 02:00:00+01:00;0.086005;0.086005;1640998800
2022-01-01 03:00:00+01:00;0.082747;0.082747;1641002400
2022-01-01 04:00:00+01:00;0.075984;0.075984;1641006000
2022-01-01 05:00:00+01:00;0.08208800000000001;0.08208800000000001;1641009600
2022-01-01 06:00:00+01:00;0.18172100000000002;0.18172100000000002;1641013200
2022-01-01 07:00:00+01:00;0.129629;0.129629;1641016800
2022-01-01 08:00:00+01:00;0.18615299999999999;0.18615299999999999;1641020400
2022-01-01 09:00:00+01:00;0.20290299999999997;0.20290299999999997;1641024000
2022-01-01 10:00:00+01:00;0.46060799999999996;0.46060799999999996;1641027600
2022-01-01 11:00:00+01:00;0.235521;0.235521;1641031200
2022-01-01 12:00:00+01:00;0.16906600000000002;0.16906600000000002;1641034800
2022-01-01 13:00:00+01:00;0.24370200000000003;0.24370200000000003;1641038400
2022-01-01 14:00:00+01:00;0.7587900000000001;0.7587900000000001;1641042000
2022-01-01 15:00:00+01:00;0.17410199999999998;0.17410199999999998;1641045600
2022-01-01 16:00:00+01:00;0.194465;0.194465;1641049200
2022-01-01 17:00:00+01:00;0.33256500000000006;0.33256500000000006;1641052800
2022-01-01 18:00:00+01:00;0.22044899999999998;0.22044899999999998;1641056400
2022-01-01 19:00:00+01:00;0.209958;0.209958;1641060000
2022-01-01 20:00:00+01:00;0.227899;0.227899;1641063600
2022-01-01 21:00:00+01:00;0.27011100000000005;0.27011100000000005;1641067200
2022-01-01 22:00:00+01:00;0.231559;0.231559;1641070800
2022-01-01 23:00:00+01:00;0.15722699999999998;0.15722699999999998;1641074400
2022-01-02 00:00:00+01:00;0.10295100000000001;0.10295100000000001;1641078000
